Ref	x1	y1	x2	y2	Connectivity	Drawing Layer	Line Length
41	100.718121974	110.666186259	118.88618951	110.666186259	2	1	18.168068
42	102.30562302	97.7897888793	102.30562302	111.900909296	3	1	14.11112
43	96.1320078382	109.431463223	103.540346057	109.431463223	2	1	7.4083381
44	99.3070099319	78.2106093012	119.062578515	78.2106093012	2	1	19.755569
45	64.3819869008	60.3953197753	84.3139444893	47.8717004055	1	1	23.539839
46	64.3819869008	24.4119627129	87.3125575778	47.1661443847	1	1	32.304237
47	88.7236696194	24.4119627129	112.007018307	48.4008674212	1	1	33.430252
48	113.418130349	48.5772564264	136.525090031	24.2355737077	1	1	33.562614
49	138.112591078	24.5883517181	161.395939765	45.5786433378	1	1	31.348152
50	162.807051807	45.755032343	186.090400494	24.4119627129	1	1	31.585455
51	187.501512536	24.5883517181	210.784861223	45.9314213482	1	1	31.585455
52	212.01958426	45.9314213482	235.302932947	24.4119627129	1	1	31.704912
53	217.487643421	47.5189223951	235.302932947	74.6828291971	1	1	32.484802
54	217.664032426	75.9175522335	234.950154937	111.548131285	1	1	39.602375
55	216.7820874	112.430076312	235.126543942	133.596756936	1	1	28.009775
56	224.543203629	151.059268452	234.950154937	162.700942796	1	1	15.61516
57	201.965410963	141.18148416	201.965410963	154.939826567	2	1	13.758343
58	200.025131905	151.059268452	211.137639234	162.52455379	1	1	15.966859
59	212.01958426	163.053720806	223.308480593	151.059268452	1	1	16.471371
60	187.501512536	163.053720806	198.437630859	150.882879447	1	1	16.362398
61	174.977893166	151.059268452	186.266789499	162.700942796	1	1	16.21628
62	162.630662801	163.053720806	173.74317013	151.059268452	1	1	16.350985
63	150.636210447	150.882879447	161.57232877	162.700942796	1	1	16.101717
64	113.241741343	149.824545416	149.401487411	162.877331801	3	1	38.443497
65	100.894510979	150.882879447	111.830629302	162.877331801	1	1	16.231623
66	64.2055978956	163.230109811	101.776456005	142.945374212	1	1	42.697071
67	64.558375906	126.893974739	113.241741343	141.710651176	1	1	50.888153
68	89.0764476299	100.435623957	100.012565953	111.548131285	1	1	15.591231
69	89.0764476299	90.0286726502	103.363957052	100.435623957	1	1	17.675903
70	88.9000586246	88.7939496137	103.716735062	76.6231082544	1	1	19.174547
71	138.465369088	74.8592182023	155.222324583	54.0453155878	1	1	26.721043
72	156.633436624	53.1633705618	180.093174317	74.6828291971	1	1	31.834673
73	174.801504161	134.125923952	210.255694208	112.253687306	1	1	41.658066
74	138.288980083	134.655090968	173.74317013	112.430076312	1	1	41.844364
75	124.177859666	126.893974739	137.230646052	113.488410343	1	1	18.710543
76	126.118138723	100.612012963	137.230646052	110.842575265	1	1	15.104709
77	126.294527729	86.500892546	136.525090031	74.6828291971	1	1	15.631092
78	124.354248671	59.336985744	137.230646052	73.8008841711	1	1	19.36507
79	90.8649227608	115.203229284	109.672084546	115.127792229	2	-1	18.807314
80	89.5696182424	72.2950349711	109.518796451	72.3608160827	2	-1	19.949287
81	73.2359871853	119.302981743	94.7596875973	114.588266415	1	-1	22.034023
82	73.0309995623	67.4411131314	94.9646752202	73.1807665746	1	-1	22.672224
