Ref,x1,y1,x2,y2,Connectivity,Drawing Layer,Line Length
64,185.032066463,48.7536454316,209.197360176,77.3286642752,1,1,37.423164
65,223.661258603,64.8050449055,235.832099963,78.7397763169,1,1,18.501516
66,223.661258603,48.7536454316,235.479321952,63.7467108742,1,1,19.090799
67,223.661258603,47.1661443847,235.302932947,27.9397428171,1,1,22.476278
68,210.784861223,27.9397428171,222.602924572,40.4633621868,1,1,17.219398
69,197.908463843,27.7633538119,209.550138187,40.2869731816,1,1,17.09882
70,185.032066463,27.5869648067,196.497351801,40.2869731816,1,1,17.109734
71,172.155669083,27.5869648067,183.797343426,40.4633621868,1,1,17.358866
72,159.279271702,27.5869648067,170.744557041,40.2869731816,1,1,17.109734
73,146.402874322,27.7633538119,157.868159661,40.2869731816,1,1,16.979218
74,133.350087937,27.7633538119,144.991762281,40.1105841764,1,1,16.970053
75,120.473690557,27.7633538119,132.291753906,40.2869731816,1,1,17.219398
76,94.5445067913,27.2341867962,119.23896752,40.1105841764,2,1,27.849918
77,81.4917204059,27.5869648067,93.3097837548,40.1105841764,1,1,17.219398
78,64.3819869008,27.5869648067,80.2569973695,36.5828040722,2,1,18.246674
79,55.9153146508,47.5189223951,67.2042109841,27.2341867962,1,1,23.214428
80,55.5625366404,63.7467108742,80.4333863747,48.2244784159,1,1,29.317211
81,62.6180968487,99.5536789314,99.8361769475,78.7397763169,2,1,42.64275
82,62.2653188383,96.0258988272,100.541732968,116.487023431,2,1,43.402092
83,140.758426156,81.9147784106,140.758426156,98.6717339053,1,1,16.756956
84,143.580650239,96.731454848,143.580650239,112.253687306,1,1,15.522232
85,135.995923015,110.842575265,137.230646052,96.5550658428,1,1,14.340762
86,77.4662708524,122.051967608,103.401112431,121.844488875,2,-1,25.935671
87,76.0139197239,73.7094229052,102.363718768,73.9169016378,2,-1,26.350616
88,64.1876319641,128.276329587,80.993409307,121.42953141,1,-1,18.146978
89,62.5278021031,67.2775821937,79.9560156439,74.5393378357,1,-1,18.880564
